name,smiles,category
benzene,C1=CC=CC=C1,aromatic_hydrocarbon
toluene,CC1=CC=CC=C1,aromatic_hydrocarbon
ethylbenzene,CCC1=CC=CC=C1,aromatic_hydrocarbon
p-xylene,CC1=CC=C(C=C1)C,aromatic_hydrocarbon
naphthalene,C1=CC=C2C=CC=CC2=C1,polycyclic_aromatic
anthracene,C1=CC=C2C=C3C=CC=CC3=CC2=C1,polycyclic_aromatic
phenanthrene,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,polycyclic_aromatic
n-hexane,CCCCCC,alkane
cyclohexane,C1CCCCC1,cycloalkane
methanol,CO,alcohol
ethanol,CCO,alcohol
1-propanol,CCCO,alcohol
2-propanol,CC(C)O,alcohol
acetone,CC(=O)C,ketone
2-butanone,CCC(=O)C,ketone
benzaldehyde,C1=CC=C(C=C1)C=O,aromatic_aldehyde
acetic_acid,CC(=O)O,carboxylic_acid
benzoic_acid,C1=CC=C(C=C1)C(=O)O,aromatic_carboxylic_acid
chlorobenzene,C1=CC=C(C=C1)Cl,halogenated_aromatic
dichloromethane,C(Cl)Cl,halogenated_aliphatic
chloroform,C(Cl)(Cl)Cl,halogenated_aliphatic
carbon_tetrachloride,C(Cl)(Cl)(Cl)Cl,halogenated_aliphatic
pyridine,C1=CC=NC=C1,heterocyclic_aromatic
furan,C1=COC=C1,heterocyclic_aromatic
thiophene,C1=CSC=C1,heterocyclic_aromatic
hexamethyldisilazane,C[Si](C)(C)N[Si](C)(C)C,silicon_compound
aniline,C1=CC=C(C=C1)N,aromatic_amine
acetonitrile,CC#N,nitrile
